low_gap_old_new,low_gap_enjoy,low_gap_interesting,low_gap_clear,low_gap_good,low_gap_gender,low_gap_age,,medium_gap_old_new,medium_gap_enjoy,medium_gap_interesting,medium_gap_clear,medium_gap_good,medium_gap_gender,medium_gap_age,,high_gap_old_new,high_gap_enjoy,high_gap_interesting,high_gap_clear,high_gap_good,high_gap_gender,high_gap_age,,w,x,m,y,,medium_gap_old_new,medium_gap_clear,medium_gap_good,high_gap_old_new,high_gap_clear,high_gap_good
1,7,7,7,7,2,30,,1,7,6,7,6.5,1,27,,1,7,7,7,7,2,28,,1,1,7,7,,1,7,6.5,1,7,7
1,7,7,7,7,2,43,,1,7,7,6,7,1,39,,1,7,7,7,7,1,46,,1,1,7,7,,1,6,7,1,7,7
1,7,7,7,7,1,30,,1,7,7,6,7,1,31,,1,7,7,7,7,1,18,,1,1,7,7,,1,6,7,1,7,7
1,7,6,6,6.5,1,24,,1,7,7,7,7,2,54,,1,7,7,7,7,2,64,,1,1,6,6.5,,1,7,7,1,7,7
1,7,6,7,6.5,1,39,,1,7,7,7,7,2,50,,1,7,6,7,6.5,1,47,,1,1,7,6.5,,1,7,7,1,7,6.5
1,7,6,7,6.5,1,33,,1,7,7,7,7,1,54,,1,7,7,7,7,1,26,,1,1,7,6.5,,1,7,7,1,7,7
1,7,7,7,7,2,27,,1,7,7,7,7,1,24,,1,7,7,7,7,1,21,,1,1,7,7,,1,7,7,1,7,7
1,7,7,7,7,2,34,,1,7,6,7,6.5,1,55,,1,7,7,7,7,1,35,,1,1,7,7,,1,7,6.5,1,7,7
1,7,7,7,7,1,32,,1,7,7,7,7,1,20,,1,7,7,7,7,2,23,,1,1,7,7,,1,7,7,1,7,7
1,7,7,7,7,1,48,,1,7,7,7,7,2,44,,1,7,7,7,7,1,25,,1,1,7,7,,1,7,7,1,7,7
1,7,6,7,6.5,2,28,,1,7,6,5,6.5,2,26,,1,7,7,7,7,2,29,,1,1,7,6.5,,1,5,6.5,1,7,7
1,7,7,7,7,2,32,,1,7,7,7,7,2,30,,1,7,7,6,7,2,47,,1,1,7,7,,1,7,7,1,6,7
1,7,7,6,7,1,39,,1,7,7,7,7,1,65,,1,7,5,6,6,1,22,,1,1,6,7,,1,7,7,1,6,6
1,7,7,7,7,2,27,,1,7,7,7,7,2,29,,1,7,7,7,7,2,28,,1,1,7,7,,1,7,7,1,7,7
1,7,7,6,7,2,35,,1,6,7,6,6.5,1,31,,1,7,7,7,7,1,32,,1,1,6,7,,1,6,6.5,1,7,7
1,7,7,7,7,2,38,,1,6,6,6,6,1,29,,1,7,7,7,7,2,44,,1,1,7,7,,1,6,6,1,7,7
1,7,7,7,7,1,44,,1,6,6,6,6,2,26,,1,6,7,7,6.5,2,43,,1,1,7,7,,1,6,6,1,7,6.5
1,7,6,7,6.5,2,23,,1,6,6,5,6,1,23,,1,6,6,5,6,1,62,,1,1,7,6.5,,1,5,6,1,5,6
1,7,7,7,7,2,57,,1,6,6,7,6,2,30,,1,6,5,4,5.5,1,46,,1,1,7,7,,1,7,6,1,4,5.5
1,7,7,6,7,1,25,,1,6,7,6,6.5,1,35,,1,6,6,7,6,2,49,,1,1,6,7,,1,6,6.5,1,7,6
1,7,6,7,6.5,2,24,,1,6,7,6,6.5,1,50,,1,6,6,7,6,1,49,,1,1,7,6.5,,1,6,6.5,1,7,6
1,7,7,7,7,2,21,,1,6,6,7,6,2,34,,1,6,4,3,5,2,24,,1,1,7,7,,1,7,6,1,3,5
1,7,7,7,7,1,33,,1,6,6,6,6,2,35,,1,6,5,6,5.5,1,43,,1,1,7,7,,1,6,6,1,6,5.5
1,7,7,7,7,1,31,,1,6,7,6,6.5,2,59,,1,6,7,6,6.5,1,37,,1,1,7,7,,1,6,6.5,1,6,6.5
1,7,7,6,7,2,22,,1,6,6,6,6,1,26,,1,6,7,7,6.5,2,32,,1,1,6,7,,1,6,6,1,7,6.5
1,7,7,7,7,2,51,,1,6,6,7,6,2,25,,1,6,6,5,6,1,30,,1,1,7,7,,1,7,6,1,5,6
1,6,7,7,6.5,2,30,,1,6,7,7,6.5,1,23,,1,6,7,5,6.5,1,29,,1,1,7,6.5,,1,7,6.5,1,5,6.5
1,6,6,7,6,1,27,,1,6,6,6,6,2,46,,1,6,7,7,6.5,1,35,,1,1,7,6,,1,6,6,1,7,6.5
1,6,6,6,6,2,50,,1,6,6,7,6,2,28,,1,6,5,7,5.5,1,30,,1,1,6,6,,1,7,6,1,7,5.5
1,6,7,7,6.5,1,26,,1,5,4,5,4.5,1,32,,1,5,4,4,4.5,2,25,,1,1,7,6.5,,1,5,4.5,1,4,4.5
1,6,6,6,6,1,64,,1,5,4,6,4.5,1,42,,1,5,6,7,5.5,1,27,,1,1,6,6,,1,6,4.5,1,7,5.5
1,6,5,6,5.5,1,35,,1,5,5,6,5,1,24,,1,5,3,4,4,2,30,,1,1,6,5.5,,1,6,5,1,4,4
1,6,6,7,6,1,43,,1,5,6,5,5.5,1,30,,1,5,6,7,5.5,1,34,,1,1,7,6,,1,5,5.5,1,7,5.5
1,6,6,6,6,1,31,,1,5,5,6,5,1,23,,1,5,5,7,5,1,23,,1,1,6,6,,1,6,5,1,7,5
1,6,7,7,6.5,2,35,,1,5,5,5,5,1,24,,1,5,6,5,5.5,2,65,,1,1,7,6.5,,1,5,5,1,5,5.5
1,6,6,6,6,1,39,,1,5,5,5,5,1,25,,1,5,6,5,5.5,1,30,,1,1,6,6,,1,5,5,1,5,5.5
1,6,7,6,6.5,1,32,,1,5,5,6,5,1,33,,1,5,5,5,5,1,46,,1,1,6,6.5,,1,6,5,1,5,5
1,6,7,6,6.5,2,22,,1,5,5,7,5,2,37,,1,5,6,7,5.5,2,40,,1,1,6,6.5,,1,7,5,1,7,5.5
1,6,7,7,6.5,2,25,,1,5,6,7,5.5,1,29,,1,5,6,6,5.5,2,43,,1,1,7,6.5,,1,7,5.5,1,6,5.5
1,6,5,5,5.5,2,30,,1,5,4,4,4.5,1,20,,1,5,5,6,5,1,32,,1,1,5,5.5,,1,4,4.5,1,6,5
1,6,6,7,6,1,43,,1,5,5,6,5,1,23,,1,5,6,3,5.5,1,22,,1,1,7,6,,1,6,5,1,3,5.5
1,6,6,7,6,1,33,,1,5,5,6,5,1,24,,1,5,5,7,5,2,29,,1,1,7,6,,1,6,5,1,7,5
1,6,5,5,5.5,1,37,,1,4,4,5,4,1,35,,1,5,3,4,4,1,27,,1,1,5,5.5,,1,5,4,1,4,4
1,5,7,4,6,2,34,,1,4,3,5,3.5,1,53,,1,5,5,6,5,1,22,,1,1,4,6,,1,5,3.5,1,6,5
1,5,5,6,5,1,33,,1,3,3,4,3,1,34,,1,4,4,5,4,1,34,,1,1,6,5,,1,4,3,1,5,4
1,5,5,7,5,2,43,,1,3,2,4,2.5,2,32,,1,4,5,7,4.5,1,25,,1,1,7,5,,1,4,2.5,1,7,4.5
1,5,6,6,5.5,2,48,,1,3,3,2,3,2,54,,1,4,3,6,3.5,1,60,,1,1,6,5.5,,1,2,3,1,6,3.5
1,5,6,5,5.5,2,27,,1,3,3,2,3,1,39,,1,4,3,6,3.5,1,48,,1,1,5,5.5,,1,2,3,1,6,3.5
1,5,5,7,5,1,28,,1,3,3,4,3,2,30,,1,4,4,3,4,1,33,,1,1,7,5,,1,4,3,1,3,4
1,5,6,7,5.5,2,29,,1,3,2,5,2.5,1,30,,1,4,7,7,5.5,2,23,,1,1,7,5.5,,1,5,2.5,1,7,5.5
1,5,5,7,5,1,24,,1,2,3,3,2.5,2,51,,1,4,4,4,4,1,51,,1,1,7,5,,1,3,2.5,1,4,4
1,5,5,7,5,2,51,,1,2,1,5,1.5,1,42,,1,4,4,3,4,2,35,,1,1,7,5,,1,5,1.5,1,3,4
1,5,6,5,5.5,2,54,,1,2,3,5,2.5,1,27,,1,3,3,5,3,1,27,,1,1,5,5.5,,1,5,2.5,1,5,3
1,5,5,5,5,1,31,,1,2,1,5,1.5,1,40,,1,3,3,7,3,1,33,,1,1,5,5,,1,5,1.5,1,7,3
1,5,5,5,5,2,29,,1,1,1,7,1,1,34,,1,3,3,2,3,1,28,,1,1,5,5,,1,7,1,1,2,3
1,5,5,6,5,2,30,,1,1,1,5,1,2,81,,1,3,4,2,3.5,1,34,,1,1,6,5,,1,5,1,1,2,3.5
1,5,5,6,5,2,37,,1,1,1,6,1,1,27,,1,3,2,2,2.5,1,37,,1,1,6,5,,1,6,1,1,2,2.5
1,4,4,3,4,1,25,,2,7,4,4,5.5,1,23,,1,2,1,2,1.5,1,30,,1,1,3,4,,2,4,5.5,1,2,1.5
1,2,2,3,2,1,24,,2,7,7,6,7,1,23,,1,1,2,2,1.5,1,35,,1,1,3,2,,2,6,7,1,2,1.5
2,7,7,7,7,2,58,,2,7,7,7,7,1,27,,1,1,2,1,1.5,2,24,,1,2,7,7,,2,7,7,1,1,1.5
2,7,7,7,7,1,57,,2,7,7,7,7,1,32,,1,1,2,2,1.5,2,20,,1,2,7,7,,2,7,7,1,2,1.5
2,7,7,7,7,1,26,,2,7,7,7,7,2,60,,2,7,6,7,6.5,1,30,,1,2,7,7,,2,7,7,2,7,6.5
2,7,7,6,7,2,57,,2,7,7,7,7,2,55,,2,6,5,4,5.5,2,43,,1,2,6,7,,2,7,7,2,4,5.5
2,7,7,6,7,1,32,,2,6,6,7,6,1,21,,2,5,5,6,5,2,24,,1,2,6,7,,2,7,6,2,6,5
2,7,7,7,7,2,24,,2,6,6,6,6,1,38,,2,5,4,4,4.5,2,50,,1,2,7,7,,2,6,6,2,4,4.5
2,7,7,7,7,2,25,,2,6,6,7,6,2,52,,2,5,5,5,5,1,59,,1,2,7,7,,2,7,6,2,5,5
2,7,6,6,6.5,1,30,,2,6,6,7,6,2,32,,2,5,5,4,5,1,26,,1,2,6,6.5,,2,7,6,2,4,5
2,7,7,7,7,2,62,,2,6,7,5,6.5,2,42,,2,5,5,4,5,2,31,,1,2,7,7,,2,5,6.5,2,4,5
2,7,7,7,7,2,30,,2,6,6,7,6,1,43,,2,4,4,4,4,1,19,,1,2,7,7,,2,7,6,2,4,4
2,6,7,4,6.5,1,28,,2,6,5,6,5.5,1,38,,2,4,4,5,4,1,34,,1,2,4,6.5,,2,6,5.5,2,5,4
2,6,7,6,6.5,2,42,,2,5,4,6,4.5,2,34,,2,4,5,3,4.5,2,39,,1,2,6,6.5,,2,6,4.5,2,3,4.5
2,6,6,6,6,1,34,,2,5,5,4,5,1,31,,2,4,5,4,4.5,2,41,,1,2,6,6,,2,4,5,2,4,4.5
2,6,6,5,6,2,64,,2,5,7,6,6,1,39,,2,4,4,5,4,2,23,,1,2,5,6,,2,6,6,2,5,4
2,6,7,7,6.5,1,59,,2,5,6,6,5.5,2,30,,2,4,5,5,4.5,1,31,,1,2,7,6.5,,2,6,5.5,2,5,4.5
2,6,6,7,6,1,20,,2,5,5,5,5,1,31,,2,4,5,7,4.5,1,25,,1,2,7,6,,2,5,5,2,7,4.5
2,6,7,6,6.5,2,28,,2,5,5,5,5,1,29,,2,4,4,4,4,1,47,,1,2,6,6.5,,2,5,5,2,4,4
2,6,6,6,6,1,49,,2,5,6,7,5.5,2,60,,2,4,5,6,4.5,1,26,,1,2,6,6,,2,7,5.5,2,6,4.5
2,6,6,6,6,2,35,,2,5,5,5,5,1,31,,2,4,2,7,3,2,55,,1,2,6,6,,2,5,5,2,7,3
2,6,6,7,6,1,53,,2,5,6,6,5.5,2,49,,2,4,5,3,4.5,2,60,,1,2,7,6,,2,6,5.5,2,3,4.5
2,6,6,5,6,1,35,,2,5,5,5,5,1,33,,2,4,3,2,3.5,2,28,,1,2,5,6,,2,5,5,2,2,3.5
2,6,7,7,6.5,2,24,,2,5,5,5,5,1,59,,2,4,3,5,3.5,1,22,,1,2,7,6.5,,2,5,5,2,5,3.5
2,6,7,6,6.5,2,29,,2,5,5,4,5,2,31,,2,4,3,3,3.5,1,21,,1,2,6,6.5,,2,4,5,2,3,3.5
2,6,6,5,6,2,19,,2,5,5,6,5,2,37,,2,3,3,4,3,1,33,,1,2,5,6,,2,6,5,2,4,3
2,6,7,7,6.5,2,24,,2,5,6,7,5.5,1,24,,2,3,3,5,3,1,26,,1,2,7,6.5,,2,7,5.5,2,5,3
2,6,5,6,5.5,1,26,,2,5,6,3,5.5,2,29,,2,3,2,6,2.5,2,33,,1,2,6,5.5,,2,3,5.5,2,6,2.5
2,5,5,5,5,2,29,,2,5,5,5,5,1,22,,2,3,2,3,2.5,1,20,,1,2,5,5,,2,5,5,2,3,2.5
2,5,5,6,5,2,35,,2,4,4,4,4,1,30,,2,3,2,3,2.5,1,35,,1,2,6,5,,2,4,4,2,3,2.5
2,5,5,6,5,2,36,,2,4,5,4,4.5,1,27,,2,3,4,5,3.5,1,26,,1,2,6,5,,2,4,4.5,2,5,3.5
2,5,6,5,5.5,2,26,,2,4,4,5,4,2,38,,2,3,2,4,2.5,1,30,,1,2,5,5.5,,2,5,4,2,4,2.5
2,5,5,6,5,1,47,,2,4,4,5,4,2,32,,2,3,3,3,3,2,33,,1,2,6,5,,2,5,4,2,3,3
2,5,5,6,5,1,27,,2,4,3,5,3.5,1,20,,2,3,3,3,3,2,33,,1,2,6,5,,2,5,3.5,2,3,3
2,5,6,5,5.5,2,46,,2,4,3,3,3.5,1,23,,2,3,5,4,4,1,34,,1,2,5,5.5,,2,3,3.5,2,4,4
2,5,6,5,5.5,1,34,,2,4,5,5,4.5,1,46,,2,3,3,4,3,2,28,,1,2,5,5.5,,2,5,4.5,2,4,3
2,5,2,5,3.5,2,30,,2,4,5,5,4.5,2,34,,2,2,2,6,2,2,40,,1,2,5,3.5,,2,5,4.5,2,6,2
2,5,5,6,5,1,32,,2,4,6,4,5,2,25,,2,2,3,1,2.5,2,28,,1,2,6,5,,2,4,5,2,1,2.5
2,5,6,7,5.5,2,22,,2,4,4,4,4,1,68,,2,2,4,2,3,2,59,,1,2,7,5.5,,2,4,4,2,2,3
2,5,6,7,5.5,2,24,,2,4,4,6,4,2,21,,2,2,1,5,1.5,1,20,,1,2,7,5.5,,2,6,4,2,5,1.5
2,5,6,6,5.5,2,36,,2,4,3,6,3.5,1,32,,2,2,4,4,3,2,24,,1,2,6,5.5,,2,6,3.5,2,4,3
2,5,6,6,5.5,1,46,,2,4,3,5,3.5,1,39,,2,2,2,2,2,1,24,,1,2,6,5.5,,2,5,3.5,2,2,2
2,5,6,5,5.5,2,34,,2,4,4,6,4,2,59,,2,2,2,1,2,1,28,,1,2,5,5.5,,2,6,4,2,1,2
2,5,5,6,5,1,21,,2,4,5,6,4.5,1,39,,2,2,2,3,2,1,31,,1,2,6,5,,2,6,4.5,2,3,2
2,5,6,6,5.5,1,20,,2,3,4,6,3.5,2,30,,2,2,4,3,3,2,26,,1,2,6,5.5,,2,6,3.5,2,3,3
2,5,6,5,5.5,2,33,,2,3,3,5,3,1,33,,2,2,2,5,2,2,28,,1,2,5,5.5,,2,5,3,2,5,2
2,5,5,6,5,1,39,,2,3,4,6,3.5,1,26,,2,1,1,1,1,1,39,,1,2,6,5,,2,6,3.5,2,1,1
2,4,5,5,4.5,1,41,,2,3,2,6,2.5,1,28,,2,1,1,1,1,1,29,,1,2,5,4.5,,2,6,2.5,2,1,1
2,4,5,7,4.5,2,24,,2,3,4,5,3.5,1,36,,2,1,1,3,1,2,35,,1,2,7,4.5,,2,5,3.5,2,3,1
2,4,6,6,5,2,43,,2,3,3,4,3,1,38,,2,1,1,1,1,2,54,,1,2,6,5,,2,4,3,2,1,1
2,4,5,5,4.5,1,41,,2,3,2,5,2.5,1,24,,2,1,1,1,1,1,28,,1,2,5,4.5,,2,5,2.5,2,1,1
2,4,5,4,4.5,2,30,,2,3,2,4,2.5,2,33,,2,1,1,1,1,2,31,,1,2,4,4.5,,2,4,2.5,2,1,1
2,4,4,7,4,1,26,,2,3,2,1,2.5,2,36,,2,1,1,1,1,2,60,,1,2,7,4,,2,1,2.5,2,1,1
2,4,4,7,4,2,41,,2,3,3,4,3,2,29,,2,1,2,1,1.5,2,30,,1,2,7,4,,2,4,3,2,1,1.5
2,4,5,4,4.5,1,25,,2,2,2,5,2,1,41,,2,1,2,1,1.5,2,30,,1,2,4,4.5,,2,5,2,2,1,1.5
2,4,4,4,4,2,41,,2,2,4,4,3,1,27,,2,1,1,1,1,1,40,,1,2,4,4,,2,4,3,2,1,1
2,4,5,6,4.5,1,35,,2,2,3,2,2.5,2,33,,2,1,1,1,1,2,51,,1,2,6,4.5,,2,2,2.5,2,1,1
2,3,5,7,4,1,24,,2,1,1,5,1,2,30,,2,1,1,7,1,1,24,,1,2,7,4,,2,5,1,2,7,1
2,3,4,7,3.5,2,551,,2,1,1,4,1,2,42,,2,1,1,1,1,1,25,,1,2,7,3.5,,2,4,1,2,1,1
2,2,2,5,2,2,32,,2,1,1,5,1,2,26,,2,1,1,1,1,2,21,,1,2,5,2,,2,5,1,2,1,1
2,2,3,4,2.5,2,25,,2,1,1,2,1,1,27,,2,1,1,5,1,1,30,,1,2,4,2.5,,2,2,1,2,5,1
2,1,1,1,1,1,31,,2,1,3,5,2,2,45,,2,1,1,1,1,1,55,,1,2,1,1,,2,5,2,2,1,1
2,1,5,7,3,1,26,,,,,,,,,,2,1,1,2,1,1,33,,1,2,7,3,,,,,2,2,1
2,1,1,4,1,1,30,,,,,,,,,,,,,,,,,,1,2,4,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,6.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,7,,,,,,,
